"","year","country","latitude","longitude","casualties"
"2",1970,"MEX",19.432608,-99.133207,0
"74",1970,"JPN",33.580412,130.396361,0
"190",1970,"PAK",24.893379,67.028061,1
"105",1970,"PRY",-25.282773,-57.63561,2
"172",1970,"ISR",32.085688,34.783684,1
"4",1970,"USA",37.005105,-89.176269,3
"171",1970,"NLD",52.370216,4.895168,0
"7",1970,"DOM",18.456792,-69.951164,1
"10",1970,"USA",47.60356,-122.329439,3
"8",1970,"USA",40.65,-73.95,61
"15",1970,"VEN",10.502961,-66.917253,0
"13",1970,"GTM",14.624422,-90.53288,1
"30",1970,"DEU",48.139126,11.580186,16
"22",1970,"USA",35.914639,-79.056619,0
"72",1970,"USA",42.331685,-83.047924,6
"18",1970,"USA",30.479685,-90.095304,0
"82",1970,"JOR",31.950001,35.933331,0
"5",1970,"URY",-34.891151,-56.187214,3
"152",1970,"BEL",50.850335,4.351685,0
"6",1970,"USA",43.07295,-89.386694,4
"16",1970,"USA",39.74001,-104.992259,0
"3",1970,"PHL",15.478598,120.599741,14
"180",1970,"CAN",46.803137,-71.241298,1
"167",1970,"GRC",37.97918,23.716647,2
"9",1970,"USA",18.37657,-67.224894,2
"46",1970,"ITA",41.89052,12.494249,0
"11",1970,"USA",42.47031,-96.413949,47
"59",1970,"EGY",31.1980556,29.9191667,2
"56",1970,"BRA",-23.550711,-46.633475,2
"23",1970,"USA",46.418657,-117.01666,0
"39",1970,"CHE",47.36865,8.539182,47
"186",1970,"AUS",-37.813187,144.96298,0
"19",1970,"USA",32.221553,-110.969754,0
"108",1970,"DEU",52.516667,13.4,0
"17",1970,"USA",37.869885,-122.270539,22
"21",1970,"USA",33.766725,-118.192399,2
"12",1970,"USA",25.749238,-80.262949,2
"20",1970,"USA",33.83651,-86.254749,1
"147",1970,"NIC",12.136389,-86.251389,0
"71",1970,"ARG",-34.6037,-58.381503,3
"24",1970,"USA",40.759505,-111.888229,0
"198",1970,"ESP",43.320812,-1.984447,0
"138",1970,"GBR",54.597269,-5.930109,4
